accX,accY,accZ,timestamp
-0.03742330,-0.03857255,-0.02608871,19.98
-0.06854951,0.01649689,-0.00216484,19.98
-0.02784600,-0.02181229,-0.04043770,19.98
-0.04939491,0.01170825,0.01697063,19.98
-0.01587439,0.01170825,0.01933193,19.98
-0.02305736,-0.01223499,-0.01661396,19.98
-0.01108573,-0.01223499,0.05997086,19.98
0.02243480,-0.02899526,0.01678658,19.98
-0.02066302,0.03086284,0.01200485,19.98
-0.04939491,-0.00265769,0.02406025,19.98
-0.03742330,-0.00026337,0.03121185,19.98
-0.01348005,-0.00744634,-0.00710201,19.98
-0.01826870,0.00452528,-0.03342247,19.98
0.00088589,0.04044013,-0.02386189,19.98
-0.01587439,0.01649689,0.00248051,19.98
-0.00150844,0.01410257,0.06235218,19.98
-0.04700059,0.00691960,0.02390957,19.98
-0.01108573,-0.00026337,-0.01922417,19.98
-0.00390276,-0.00026337,0.04065609,19.98
-0.01587439,0.02367987,0.00229931,19.98
-0.03502897,0.03804581,0.10288143,19.98
-0.03502897,-0.00744634,0.06939697,19.98
0.02961777,0.02367987,0.00709724,19.98
-0.04460627,0.01410257,-0.00963211,19.98
-0.02784600,0.01410257,0.01428032,19.98
-0.02305736,0.00931392,0.01660633,19.98
0.00567453,-0.02420661,-0.01221561,19.98
0.03919506,0.01170825,-0.03373909,19.98
0.00567453,0.05720039,-0.00738621,19.98
-0.01108573,-0.01702364,-0.05284309,19.98
-0.04460627,0.02367987,-0.00733376,19.98
-0.05657788,-0.02660093,-0.02650738,19.98
-0.01348005,0.00452528,0.00940800,19.98
-0.02066302,0.01410257,-0.06710815,19.98
-0.04221194,0.01410257,0.05986309,19.98
-0.03981762,0.00931392,0.03832817,19.98
-0.06376085,-0.01702364,-0.01202393,19.98
-0.00869142,0.00691960,0.00949860,19.98
-0.03263465,0.04762310,0.00944328,19.98
-0.00629708,0.05959472,0.04062462,19.98
-0.02305736,0.02128554,0.01187325,19.98
-0.00150844,-0.02181229,0.00232792,19.98
-0.01587439,-0.03138958,0.01921463,19.98
-0.01348005,-0.00984067,-0.04065800,19.98
-0.02784600,0.00691960,-0.03349209,19.98
-0.05178924,0.03086284,-0.08368206,19.98
-0.00390276,-0.01223499,0.00975513,19.98
-0.01108573,0.00931392,-0.00705147,19.98
0.00567453,-0.01941796,0.00721931,19.98
-0.01587439,0.01649689,-0.07424545,19.98
0.00806886,0.01410257,-0.00479794,19.98
-0.03263465,-0.00026337,0.03351307,19.98
0.01525183,-0.00744634,0.01434422,19.98
-0.01826870,0.01170825,0.02628994,19.98
-0.01108573,-0.00984067,-0.03840733,19.98
-0.02305736,-0.00265769,0.00475502,19.98
-0.03502897,-0.01702364,-0.02159023,19.98
-0.03502897,-0.00744634,0.02381611,19.98
0.01525183,0.02128554,-0.02409840,19.98
-0.01348005,0.01649689,0.00228214,19.98
0.00806886,-0.02660093,0.07893848,19.98
0.02722344,0.03565148,0.01899433,19.98
-0.00390276,-0.00984067,-0.05049133,19.98
-0.01826870,-0.02660093,0.02608109,19.98
-0.02066302,-0.03138958,-0.04096508,19.98
-0.02784600,-0.00744634,-0.01693726,19.98
-0.02305736,-0.03138958,0.01177788,19.98
-0.02545168,0.01170825,0.03328609,19.98
-0.04221194,-0.01223499,-0.01942253,19.98
-0.04460627,0.00213095,-0.02424717,19.98
-0.02545168,-0.02420661,-0.02898884,19.98
-0.03024033,-0.00744634,-0.00262451,19.98
-0.00869142,-0.01941796,0.02377033,19.98
0.00567453,-0.00505202,-0.04089069,19.98
-0.04939491,-0.00505202,0.04773331,19.98
-0.00629708,-0.00744634,-0.00251198,19.98
-0.01108573,-0.01223499,0.02140331,19.98
0.01525183,-0.01223499,-0.03132915,19.98
-0.00390276,0.00213095,-0.02417088,19.98
-0.01108573,-0.02420661,-0.01934147,19.98
-0.00869142,-0.01223499,-0.00497723,19.98
0.00088589,-0.03617823,0.04288960,19.98
-0.02784600,0.00691960,0.00691223,19.98
0.00088589,-0.00026337,0.04045010,19.98
-0.02066302,0.01649689,0.05234432,19.98
-0.01108573,0.00691960,0.01397800,19.98
-0.04221194,0.00691960,0.04030895,19.98
-0.04221194,-0.00984067,-0.03868484,19.98
-0.01108573,-0.04336120,0.04994011,19.98
-0.00629708,-0.01702364,0.00919437,19.98
0.01764615,-0.03378391,-0.03872108,19.98
-0.01348005,0.01889122,-0.04588985,19.98
-0.03024033,-0.03857255,-0.00988770,19.98
-0.03502897,0.03804581,-0.03382492,19.98
-0.00629708,-0.02420661,-0.00028515,19.98
-0.04460627,0.01889122,-0.03855801,19.98
-0.02545168,-0.00505202,-0.02897644,19.98
-0.00629708,0.01889122,0.00460434,19.98
-0.01587439,-0.01462931,0.01181793,19.98
-0.05897221,0.02846851,0.04293442,19.98
-0.02545168,-0.01941796,-0.03848839,19.98
0.03440641,0.02367987,-0.03850269,19.98
-0.02545168,0.01170825,0.02608871,19.98
-0.03981762,0.02128554,-0.01702785,19.98
-0.02545168,0.00213095,-0.02422047,19.98
-0.05657788,0.00452528,0.00689602,19.98
-0.03502897,0.02128554,-0.01460838,19.98
-0.02305736,0.00213095,0.04046631,19.98
-0.00390276,0.03565148,0.01177979,19.98
-0.00869142,-0.00744634,-0.05286407,19.98
-0.00150844,-0.01223499,0.02617931,19.98
-0.01108573,-0.02181229,0.00705624,19.98
-0.01587439,0.02846851,-0.02886677,19.98
-0.02066302,0.01170825,0.03583908,19.98
0.00806886,-0.01223499,-0.02154255,19.98
-0.01826870,-0.01941796,-0.02391911,19.98
0.04158939,-0.00026337,-0.02627563,19.98
-0.00150844,-0.02899526,0.05988979,19.98
0.00328021,0.04762310,-0.01677227,19.98
-0.01587439,-0.04336120,-0.04549503,19.98
-0.01826870,-0.00265769,-0.00479794,19.98
-0.06376085,0.03086284,-0.01676750,19.98
0.00328021,-0.00265769,0.09100628,19.98
-0.03502897,-0.03138958,0.02637577,19.98
-0.00150844,0.00452528,-0.03587627,19.98
-0.01826870,0.00213095,0.01445007,19.98
-0.03981762,-0.00505202,-0.03583813,19.98
0.01525183,-0.01702364,-0.02625847,19.98
0.00328021,-0.01941796,-0.03099442,19.98
-0.02066302,-0.02181229,-0.01666451,19.98
0.00088589,0.04283445,-0.01902962,19.98
